Codeine-Panadol,Valdoxan,Iron,tired,Vyvanse,struggled to get up,sleep in,Acetyl Carnitine,sober,Lithium,Magnesium gel,N-Acelcysteine,Aspirin,heartache,Nasonex,Prednisone,Creatine,Clonazepam,Zofran,Ecural,Synthroid,Soluble Aspirin,Buspirone,antihistamines,Valium,Ranitidine,Probiotic,Ventolin,Antihistamine,stressed,Codeine,Spironolactone,Vitamin B,Physiotherapy,Temazepam,Probiotics,linseed,Boswelia,Flutiform,Boswelia Complex,Panamax,Zoladex,Voltaren,Fish oil,Vitamin a,Athlete Vitamin,Standing desk,Ibuprofen,Mezavant,Nortriptyline,Magnesium,row
,,,2.0,,2.0,,,2.0,0.0,,,,,,,2.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,2.0,,,,0.0,,,0.0,,,,,,,0.0,,,2.0,,0.0,0.0,,Magnesium gel
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,N-Acelcysteine
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Aspirin
2.0,2.0,2.0,,2.0,,0.0,2.0,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,heartache
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Nasonex
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Prednisone
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.967526437761,2.0,0.0,0.0,2.0,0.0,0.0,,0.6473022367,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.915864596334,0.0,Creatine
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0533028636074,0.0,0.0,0.0,2.0,0.0,0.0,0.6473022367,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0379061496575,0.0,Clonazepam
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Zofran
,,,2.0,,2.0,,,2.0,0.0,0.0,,,,,,2.0,0.0,,,0.0,,,,,0.0,0.0,,,2.0,,,,0.0,,,0.0,,,,,,,0.0,,,2.0,,0.0,0.0,,Ecural
,,,2.0,,2.0,,,2.0,0.0,0.0,,,,,,2.0,0.0,,0.0,,,,,,0.0,0.0,,,2.0,,,,0.0,,,0.0,,,,,,,0.0,,,2.0,,0.0,0.0,,Synthroid
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Soluble Aspirin
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Buspirone
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,antihistamines
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Valium
,,,2.0,,2.0,,,2.0,0.0,0.0,,,,,,2.0,0.0,,0.0,0.0,,,,,,0.0,,,2.0,,,,0.0,,,0.0,,,,,,,0.0,,,2.0,,0.0,0.0,,Ranitidine
,,,2.0,,2.0,,,2.0,0.0,0.0,,,,,,2.0,0.0,,0.0,0.0,,,,,0.0,,,,2.0,,,,0.0,,,0.0,,,,,,,0.0,,,2.0,,0.0,0.0,,Probiotic
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Ventolin
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Antihistamine
,,,0.0,,0.0,,,0.0,2.0,2.0,,,,,,0.0,2.0,,2.0,2.0,,,,,2.0,2.0,,,,,,,2.0,,,2.0,,,,,,,2.0,,,0.0,,2.0,2.0,,stressed
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Codeine
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Spironolactone
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Vitamin B
,,,2.0,,2.0,,,2.0,0.0,0.0,,,,,,2.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,2.0,,,,,,,0.0,,,,,,,0.0,,,2.0,,0.0,0.0,,Physiotherapy
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Temazepam
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Probiotics
,,,2.0,,2.0,,,2.0,0.0,0.0,,,,,,2.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,2.0,,,,0.0,,,,,,,,,,0.0,,,2.0,,0.0,0.0,,linseed
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Boswelia
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Flutiform
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Boswelia Complex
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,Panamax
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,Zoladex
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,Voltaren
,,,2.0,,2.0,,,2.0,0.0,0.0,,,,,,2.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,2.0,,,,0.0,,,0.0,,,,,,,,,,2.0,,0.0,0.0,,Fish oil
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,Vitamin a
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,Athlete Vitamin
,,,0.0,,0.0,,,0.0,2.0,2.0,,,,,,0.0,2.0,,2.0,2.0,,,,,2.0,2.0,,,0.0,,,,2.0,,,2.0,,,,,,,2.0,,,,,2.0,2.0,,Standing desk
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Ibuprofen
,,,2.0,,2.0,,,2.0,0.0,0.0,,,,,,2.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,2.0,,,,0.0,,,0.0,,,,,,,0.0,,,2.0,,,0.0,,Mezavant
0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.00133902788788,0.0,0.0,0.0,2.0,0.0,0.0,0.915864596334,0.0379061496575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,Nortriptyline
0.0,0.0,0.0,,0.0,,2.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,Magnesium
