hiking,AM meds,Superlong nap,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Sunlight,Cold Pack,Florinef,Ritalin,Magnesium glycinate,Hydrocortisone,ate breakfast,5-htp,Solifenacin,Bactrim,Claritin,busy,Prednisolone,Strattera,digestive enzyme,Ingefära,Fludrocortisone,Feverfew,woke up late,dairy,Famotidine,Vitamin b complex,A little stressed,shopping,banana,Probiotic,Nasonex,Vitamin d,very active aqua class,Astelin,TigerBalm,Vitamin C,scary new shit,THC,day at home,Allegra,Klonopin,PeaPure,Singulair,Fish oil,Methylprednisolone,Ginger,Piyo,Montelukast,Vitamin b12,Post-op ice device,Zinc,Ibuprofen,had sex,Melatonin,Passionflower,row
0.0,,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,,2.0,,2.0,,2.0,,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,2.0,,,2.0,2.0,,,,,,,2.0,,,busy
2.0,,2.0,,2.0,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,,,0.0,,0.0,,2.0,2.0,,,2.0,2.0,,,,,2.0,,,,2.0,,2.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,Prednisolone
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,Strattera
2.0,,2.0,,2.0,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,0.0,,,,0.0,,2.0,2.0,,,2.0,2.0,,,,,2.0,,,,2.0,,2.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,digestive enzyme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingefära
2.0,,2.0,,2.0,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,,,2.0,2.0,,,2.0,2.0,,,,,2.0,,,,2.0,,2.0,,,0.0,,,0.0,0.0,,,,,,,0.0,,,Fludrocortisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feverfew
0.0,,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,,0.0,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,2.0,,,2.0,2.0,,,,,,,2.0,,,woke up late
0.0,,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,0.0,,,,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,,2.0,,,2.0,2.0,,,,,,,2.0,,,dairy
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,Famotidine
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,Vitamin b complex
0.0,,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,0.0,0.0,,,,0.0,,,,,0.0,,,,0.0,,0.0,,,2.0,,,2.0,2.0,,,,,,,2.0,,,A little stressed
0.0,,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,0.0,0.0,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,2.0,,,2.0,2.0,,,,,,,2.0,,,shopping
,2.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,banana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotic
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,Nasonex
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,Vitamin d
0.0,,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,2.0,,,2.0,2.0,,,,,,,2.0,,,very active aqua class
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,Astelin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,Vitamin C
0.0,,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,,,0.0,,,2.0,,,2.0,2.0,,,,,,,2.0,,,scary new shit
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,2.0,,0.0,,THC
0.0,,0.0,,0.0,0.0,,,,2.0,,,2.0,0.0,,,,,0.0,2.0,,2.0,,2.0,,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,2.0,,,2.0,2.0,,,,,,,2.0,,,day at home
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,Allegra
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,Klonopin
2.0,,2.0,,2.0,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,2.0,2.0,,,2.0,2.0,,,,,2.0,,,,2.0,,2.0,,,,,,0.0,0.0,,,,,,,0.0,,,PeaPure
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,,,0.0,,Singulair
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,,0.0,,Fish oil
2.0,,2.0,,2.0,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,2.0,2.0,,,2.0,2.0,,,,,2.0,,,,2.0,,2.0,,,0.0,,,,0.0,,,,,,,0.0,,,Methylprednisolone
2.0,,2.0,,2.0,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,2.0,2.0,,,2.0,2.0,,,,,2.0,,,,2.0,,2.0,,,0.0,,,0.0,,,,,,,,0.0,,,Ginger
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piyo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,Montelukast
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,,0.0,,Vitamin b12
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,,,0.0,,Post-op ice device
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,Zinc
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,Ibuprofen
2.0,,2.0,,2.0,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,0.0,,0.0,,0.0,,2.0,2.0,,,2.0,2.0,,,,,2.0,,,,2.0,,2.0,,,0.0,,,0.0,0.0,,,,,,,,,,had sex
,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,,,,Melatonin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passionflower
