rice cereal,golden beet,Caffeine,green tea,farm work,fuck yeah avocado,ate breakfast,afternoon coffee,busy,long shopping  trip,Contraceptive pill,good breakfast,lettuce mix,avocado,nap,sugar,cashews,Feverfew,woke up late,ate tomatoes,coffee,corncakes,Probiotic,avocado bun,coco pops,Womans balance,TigerBalm,fiber art - sewing,day at home,bread,grilled cheese,grains,limes,ate potato,12 hrs sleep,11 hours of sleep,light breakfast,Ritalin,olive tapenade,snuggles,Folate,chicken,Solifenacin,Nasal spray,Prednisolone,dumpling stew,very few vegetables,7-keto-dhea,Ingefära,Fludrocortisone,ate peppers,ate rice last night,shoulder stretching,exercise,Greens First Powder,very active aqua class,Superlong nap,read science book,spicy mock beef,Vitamin C,raspberries,listen to music ,ate salsa,sweet potato,pasta,Progesterone,fry up breakfast,took ibuprofen,Methylprednisolone,Ginger,drank wine,Hydrocortisone,digestive enzyme,EnzymixPro,cinnamon,Vitamin d,Late lunch,cheese,dried fruit & pumpkin seeds,hiking,coconut flakes,physical therapy,A little stressed,beef pot pie,adapten-all,lettuce,had sex,Florinef,Levothyroxine,ironing,singing,Exercise,ate cooked nightshades,lots of walking,cashew ice cream,Pro Omega 2000 Fish Oil,Float spa,orange and verveine tea,worked in garden,dairy,banana,shopping,gluten,mint chocolates,>50 oz water,scary new shit,dexamphetamine,ate corn meal,exercised,ate potato chips,soup,Zinc,Church,minestrone,hip abduction,chocolate chips,AM meds,BeachBody OnDemand,Cyclizine,Selenium,small breakfast,Nap,Cold Pack,slept not alone,Magnesium glycinate,Chiropractic adjustment,travel,B12 drops,Vitamin b12,housework,no lunch,ate rice,ate dairy,Piyo,pizza,large breakfast,ate eggs,eggs,Awesome cheat day,thyroid support complex,Daytime nap,Bovine colostrum,went to bed too late,no breakfast,juiced,Car travel,PeaPure,Iodine,B Complex,walked,big burger,acorn squash,Klaire Ther-biotic,3 brazil-nuts,Passionflower,ate cheese-again,Multi-vitamin,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,Contraceptive pill
0.0,,,0.0,,,,2.0,0.0,,,,,,2.0,0.0,,,,,0.0,,,,,2.0,,,,,,0.0,,0.0,,2.0,2.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,,2.0,,,,,,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,2.0,2.0,2.0,,2.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,2.0,,,0.0,,,,,,0.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,,,2.0,2.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,,2.0,,,,,good breakfast
,0.0,2.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,2.0,,,0.0,,0.0,,,,2.0,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,0.0,,,,lettuce mix
,0.0,2.0,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,2.0,,,0.0,,0.0,,,,2.0,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,0.0,,,,avocado
2.0,,,2.0,,,,0.0,2.0,,,2.0,,,,2.0,,,,,2.0,,,,,0.0,,,,,,2.0,,2.0,,0.0,0.0,,,,0.0,,,,,,2.0,,,,2.0,,2.0,2.0,0.0,,,2.0,,0.0,,,,,,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,2.0,,,,,,,,,,,,0.0,0.0,0.0,,0.0,2.0,,2.0,2.0,,,,,2.0,,,2.0,2.0,2.0,,0.0,,,2.0,,,,,,2.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,,,0.0,0.0,0.0,,2.0,,2.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,,0.0,,,,,nap
0.0,,,0.0,,,,2.0,0.0,,,0.0,,,2.0,,,,,,0.0,,,,,2.0,,,,,,0.0,,0.0,,2.0,2.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,,2.0,,,,,,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,2.0,2.0,2.0,,2.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,2.0,,,0.0,,,,,,0.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,,,2.0,2.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,,2.0,,,,,sugar
,0.0,2.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,2.0,,,0.0,,0.0,,,,2.0,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,0.0,,,,cashews
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feverfew
,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,,,,2.0,,,,,,0.0,0.0,,,,,,,,,,,,2.0,2.0,,2.0,2.0,,,,,,,0.0,,0.0,0.0,,,,0.0,2.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,woke up late
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,ate tomatoes
0.0,,,0.0,,,,2.0,0.0,,,0.0,,,2.0,0.0,,,,,,,,,,2.0,,,,,,0.0,,0.0,,2.0,2.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,,2.0,,,,,,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,2.0,2.0,2.0,,2.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,2.0,,,0.0,,,,,,0.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,,,2.0,2.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,,2.0,,,,,coffee
,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,2.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,corncakes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotic
,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,2.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,avocado bun
,,0.0,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,0.0,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,2.0,,,2.0,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,2.0,,,,,,,coco pops
2.0,,,2.0,,,,0.0,2.0,,,2.0,,,0.0,2.0,,,,,2.0,,,,,,,,,,,2.0,,2.0,,0.0,0.0,,,,0.0,,,,,,2.0,,,,2.0,,2.0,2.0,0.0,,,2.0,,0.0,,,,,,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,2.0,,,,,,,,,,,,0.0,0.0,0.0,,0.0,2.0,,2.0,2.0,,,,,2.0,,,2.0,2.0,2.0,,0.0,,,2.0,,,,,,2.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,,,0.0,0.0,0.0,,2.0,,2.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,,0.0,,,,,Womans balance
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
,,0.0,,,,,,,,,,,,,,,,,,,2.0,,2.0,0.0,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,2.0,,,2.0,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,,2.0,,,,,,,fiber art - sewing
,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,2.0,,,,,,0.0,0.0,,,,,,,,,,,,2.0,2.0,,2.0,2.0,,,,,,,0.0,,0.0,0.0,,,,0.0,2.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,day at home
,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,bread
,,2.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,grilled cheese
0.0,,,0.0,,,,2.0,0.0,,,0.0,,,2.0,0.0,,,,,0.0,,,,,2.0,,,,,,,,0.0,,2.0,2.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,,2.0,,,,,,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,2.0,2.0,2.0,,2.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,2.0,,,0.0,,,,,,0.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,,,2.0,2.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,,2.0,,,,,grains
,0.0,2.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,2.0,,,0.0,,0.0,,,,2.0,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,0.0,,,,limes
0.0,,,0.0,,,,2.0,0.0,,,0.0,,,2.0,0.0,,,,,0.0,,,,,2.0,,,,,,0.0,,,,2.0,2.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,0.0,2.0,,,0.0,,2.0,,,,,,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,2.0,2.0,2.0,,2.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,2.0,,,0.0,,,,,,0.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,,,2.0,2.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,,2.0,,,,,ate potato
,0.0,2.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,2.0,,,0.0,,0.0,,,,2.0,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,0.0,,,,12 hrs sleep
2.0,,,2.0,,,,0.0,2.0,,,2.0,,,0.0,2.0,,,,,2.0,,,,,0.0,,,,,,2.0,,2.0,,,0.0,,,,0.0,,,,,,2.0,,,,2.0,,2.0,2.0,0.0,,,2.0,,0.0,,,,,,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,2.0,,,,,,,,,,,,0.0,0.0,0.0,,0.0,2.0,,2.0,2.0,,,,,2.0,,,2.0,2.0,2.0,,0.0,,,2.0,,,,,,2.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,,,0.0,0.0,0.0,,2.0,,2.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,,0.0,,,,,11 hours of sleep
2.0,,,2.0,,,,0.0,2.0,,,2.0,,,0.0,2.0,,,,,2.0,,,,,0.0,,,,,,2.0,,2.0,,0.0,,,,,0.0,,,,,,2.0,,,,2.0,,2.0,2.0,0.0,,,2.0,,0.0,,,,,,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,2.0,,,,,,,,,,,,0.0,0.0,0.0,,0.0,2.0,,2.0,2.0,,,,,2.0,,,2.0,2.0,2.0,,0.0,,,2.0,,,,,,2.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,,,0.0,0.0,0.0,,2.0,,2.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,,0.0,,,,,light breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
,0.0,2.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,2.0,,,0.0,,0.0,,,,2.0,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,0.0,,,,olive tapenade
,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,0.0,0.0,,,,,,,,,,,,2.0,2.0,,2.0,2.0,,,,,,,0.0,,0.0,0.0,,,,0.0,2.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,snuggles
2.0,,,2.0,,,,0.0,2.0,,,2.0,,,0.0,2.0,,,,,2.0,,,,,0.0,,,,,,2.0,,2.0,,0.0,0.0,,,,,,,,,,2.0,,,,2.0,,2.0,2.0,0.0,,,2.0,,0.0,,,,,,0.0,,2.0,,,0.0,,,0.0,,,2.0,,,2.0,,,,,,,,,,,,0.0,0.0,0.0,,0.0,2.0,,2.0,2.0,,,,,2.0,,,2.0,2.0,2.0,,0.0,,,2.0,,,,,,2.0,,,,0.0,0.0,2.0,0.0,,2.0,,2.0,0.0,,,0.0,0.0,0.0,,2.0,,2.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,,0.0,,,,,Folate
,0.0,2.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,2.0,,,0.0,,0.0,,,,2.0,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,0.0,,,,chicken
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solifenacin
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,Nasal spray
,,,,,,2.0,,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,2.0,2.0,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,2.0,,2.0,2.0,,,,2.0,0.0,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,Prednisolone
,,2.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,2.0,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,dumpling stew
0.0,,,0.0,,,,2.0,0.0,,,0.0,,,2.0,0.0,,,,,0.0,,,,,2.0,,,,,,0.0,,0.0,,2.0,2.0,,,,2.0,,,,,,,,,,0.0,,0.0,0.0,2.0,,,0.0,,2.0,,,,,,2.0,,0.0,,,2.0,,,2.0,,,0.0,,,0.0,,,,,,,,,,,,2.0,2.0,2.0,,2.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,2.0,,,0.0,,,,,,0.0,,,,2.0,2.0,0.0,2.0,,0.0,,0.0,2.0,,,2.0,2.0,2.0,,0.0,,0.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,,2.0,,,,,very few vegetables
