Codeine-Panadol,Vitamin d,Valdoxan,Boswelia Complex,Boswelia,Migraine Diet,Vyvanse,Synthroid,Ventolin,floravit iron,Eyebright Complex,Acetyl Carnitine,Lithium,Magnesium gel,pur-absorb iron,Ranitidine,Nasonex,Pataday,Creatine,Clonazepam,Zofran,Ecural,Vitamin,Soluble Aspirin,Buspirone,DLPA,N-Acelcysteine,Tetralabs Gold Caps,Aspirin,antihistamines,Valium,linseed,Mt. Si ACDC 2x Coco Caps,Probiotic,Cefaly Unit,Antihistamine,Tian Ma Tou Tong - headache,Codeine,Progesterone,Spironolactone,Vitamin B,Physiotherapy,Temazepam,Probiotics,Magnesium,Iron,Multivitamin,Flutiform,Ondansetron,Panamax,Esopram,Mirtazapine,Zoladex,Flexeril,Pain management,Voltaren,Fish oil,Vitamin B complex - 50,Wei Te Ling - heartburn,Vitamin a,Athlete Vitamin,Standing desk,Ibuprofen,Mezavant,Nortriptyline,Prednisone
2.0,2.0,1.87135442528,2.0,2.0,2.0,1.87135442528,0.0,1.87135442528,2.0,2.0,2.0,,0.0,2.0,0.0,1.87135442528,2.0,1.0446859417,0.00114443533537,1.87135442528,0.0,,1.7649584189,1.87135442528,2.0,0.0,,2.0,2.0,1.87135442528,2.0,,0.0,,2.0,2.0,1.87135442528,2.0,1.87135442528,1.87135442528,2.0,2.0,2.0,1.97148532956,1.87135442528,2.0,2.0,2.0,1.78836301147,,2.0,1.87135442528,,2.0,1.87135442528,0.0,2.0,2.0,1.87135442528,2.0,0.0,1.87927979238,0.0,1.18992890552,
,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,,,2.0,2.0,,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,2.0,0.0,2.0,
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,
,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,,,2.0,2.0,,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,2.0,0.0,2.0,
0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,-2.22044604925e-16,2.0,-2.22044604925e-16,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,,0.0,0.470898708941,1.84688998885,0.0,2.0,,0.0174297543029,-2.22044604925e-16,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,0.0371580280763,-2.22044604925e-16,0.0,0.0,0.0,0.0112009133135,,0.0,0.0,,0.0,-2.22044604925e-16,2.0,0.0,0.0,-2.22044604925e-16,0.0,2.0,0.00013434540264,2.0,1.31622776602,
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,
0.0,2.0,0.470898708941,0.0,0.0,2.0,0.470898708941,0.0,0.470898708941,2.0,2.0,0.0,1.0446859417,0.0,2.0,0.0,0.470898708941,2.0,,0.996854124886,0.470898708941,0.0,,0.322380826987,0.470898708941,2.0,2.0,,0.0,0.0,0.470898708941,2.0,,0.0,,0.0,2.0,0.470898708941,2.0,0.470898708941,0.470898708941,2.0,0.0,0.0,0.719725433811,0.470898708941,2.0,0.0,2.0,0.35017545989,,2.0,0.470898708941,,2.0,0.470898708941,0.0,2.0,2.0,0.470898708941,0.0,0.0,0.484878720355,0.0,1.97232996103,
2.0,2.0,1.84688998885,2.0,2.0,2.0,1.84688998885,0.0,1.84688998885,2.0,2.0,2.0,0.00114443533537,0.0,2.0,0.0,1.84688998885,2.0,0.996854124886,,1.84688998885,0.0,,1.73327763922,1.84688998885,2.0,0.0,,2.0,2.0,1.84688998885,2.0,,0.0,,2.0,2.0,1.84688998885,2.0,1.84688998885,1.84688998885,2.0,2.0,2.0,1.95903341685,1.84688998885,2.0,2.0,2.0,1.75803622203,,2.0,1.84688998885,,2.0,1.84688998885,0.0,2.0,2.0,1.84688998885,2.0,0.0,1.85549255229,0.0,1.23666941654,
0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,-2.22044604925e-16,2.0,0.0,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,0.0,0.0,0.470898708941,1.84688998885,,2.0,,0.0174297543029,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0371580280763,0.0,0.0,0.0,0.0,0.0112009133135,,0.0,0.0,,0.0,-2.22044604925e-16,2.0,0.0,0.0,0.0,0.0,2.0,0.00013434540264,2.0,1.31622776602,
,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,,,2.0,2.0,2.0,,,,,2.0,2.0,,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,2.0,0.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,
0.0,0.0,0.0174297543029,0.0,0.0,0.0,0.0174297543029,2.0,0.0174297543029,0.0,0.0,0.0,1.7649584189,2.0,0.0,2.0,0.0174297543029,0.0,0.322380826987,1.73327763922,0.0174297543029,2.0,,,0.0174297543029,0.0,2.0,,0.0,0.0,0.0174297543029,0.0,,2.0,,0.0,0.0,0.0174297543029,0.0,0.0174297543029,0.0174297543029,0.0,0.0,0.0,0.104143040573,0.0174297543029,0.0,0.0,0.0,0.000690606502932,,0.0,0.0174297543029,,0.0,0.0174297543029,2.0,0.0,0.0,0.0174297543029,0.0,2.0,0.0206087530887,2.0,1.48706831453,
0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,-2.22044604925e-16,2.0,-2.22044604925e-16,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,-2.22044604925e-16,0.0,0.470898708941,1.84688998885,0.0,2.0,,0.0174297543029,,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,1.11022302463e-16,0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,0.0371580280763,-2.22044604925e-16,0.0,0.0,0.0,0.0112009133135,,0.0,-2.22044604925e-16,,0.0,-2.22044604925e-16,2.0,0.0,0.0,-2.22044604925e-16,0.0,2.0,0.00013434540264,2.0,1.31622776602,
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,
2.0,,2.0,2.0,2.0,,2.0,,2.0,,,2.0,0.0,,,,2.0,,2.0,0.0,2.0,,,2.0,2.0,,,,2.0,2.0,2.0,,,,,2.0,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,,,2.0,,,2.0,,,,2.0,2.0,,2.0,,0.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,,2.0,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0
0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,,2.0,,0.0,,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0
0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,-2.22044604925e-16,2.0,0.0,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,0.0,0.0,0.470898708941,1.84688998885,0.0,2.0,,0.0174297543029,0.0,0.0,2.0,,0.0,0.0,,0.0,,2.0,,0.0,0.0,1.11022302463e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0371580280763,0.0,0.0,0.0,0.0,0.0112009133135,,0.0,0.0,,0.0,-2.22044604925e-16,2.0,0.0,0.0,0.0,0.0,2.0,0.00013434540264,2.0,1.31622776602,
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,2.0,0.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,,2.0,,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,0.0,0.0,0.470898708941,1.84688998885,0.0,2.0,,0.0174297543029,1.11022302463e-16,0.0,2.0,,0.0,0.0,1.11022302463e-16,0.0,,2.0,,0.0,0.0,,0.0,1.11022302463e-16,0.0,0.0,0.0,0.0,0.0371580280763,0.0,0.0,0.0,0.0,0.0112009133135,,0.0,2.22044604925e-16,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.00013434540264,2.0,1.31622776602,
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,0.0,0.0,0.470898708941,1.84688998885,0.0,2.0,,0.0174297543029,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,1.11022302463e-16,0.0,,0.0,0.0,0.0,0.0,0.0371580280763,0.0,0.0,0.0,0.0,0.0112009133135,,0.0,2.22044604925e-16,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.00013434540264,2.0,1.31622776602,
0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,-2.22044604925e-16,2.0,-2.22044604925e-16,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,-2.22044604925e-16,0.0,0.470898708941,1.84688998885,0.0,2.0,,0.0174297543029,-2.22044604925e-16,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0371580280763,-2.22044604925e-16,0.0,0.0,0.0,0.0112009133135,,0.0,0.0,,0.0,-2.22044604925e-16,2.0,0.0,0.0,-2.22044604925e-16,0.0,2.0,0.00013434540264,2.0,1.31622776602,
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,
0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,,2.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0
0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,,2.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0
0.0,0.0,0.0371580280763,0.0,0.0,0.0,0.0371580280763,2.0,0.0371580280763,0.0,0.0,0.0,1.97148532956,2.0,0.0,2.0,0.0371580280763,0.0,0.719725433811,1.95903341685,0.0371580280763,2.0,,0.104143040573,0.0371580280763,0.0,2.0,,0.0,0.0,0.0371580280763,0.0,,2.0,,0.0,0.0,0.0371580280763,0.0,0.0371580280763,0.0371580280763,0.0,0.0,0.0,,0.0371580280763,0.0,0.0,0.0,0.088250730243,,0.0,0.0371580280763,,0.0,0.0371580280763,2.0,0.0,0.0,0.0371580280763,0.0,2.0,0.0328606741063,2.0,1.0482708019,
0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,-2.22044604925e-16,2.0,-2.22044604925e-16,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,-2.22044604925e-16,0.0,0.470898708941,1.84688998885,0.0,2.0,,0.0174297543029,-2.22044604925e-16,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,0.0371580280763,,0.0,0.0,0.0,0.0112009133135,,0.0,0.0,,0.0,-2.22044604925e-16,2.0,0.0,0.0,-2.22044604925e-16,0.0,2.0,0.00013434540264,2.0,1.31622776602,
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,
0.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,0.0,,2.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,2.0,0.0
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,
0.0,0.0,0.0112009133135,0.0,0.0,0.0,0.0112009133135,2.0,0.0112009133135,0.0,0.0,0.0,1.78836301147,2.0,0.0,2.0,0.0112009133135,0.0,0.35017545989,1.75803622203,0.0112009133135,2.0,,0.000690606502932,0.0112009133135,0.0,2.0,,0.0,0.0,0.0112009133135,0.0,,2.0,,0.0,0.0,0.0112009133135,0.0,0.0112009133135,0.0112009133135,0.0,0.0,0.0,0.088250730243,0.0112009133135,0.0,0.0,0.0,,,0.0,0.0112009133135,,0.0,0.0112009133135,2.0,0.0,0.0,0.0112009133135,0.0,2.0,0.0137801906613,2.0,1.45427926262,
,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,0.0,0.0,0.470898708941,1.84688998885,0.0,2.0,,0.0174297543029,-2.22044604925e-16,0.0,2.0,,0.0,0.0,0.0,0.0,,2.0,,0.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,0.0,0.0,0.0,0.0,0.0371580280763,0.0,0.0,0.0,0.0,0.0112009133135,,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.00013434540264,2.0,1.31622776602,
,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.22044604925e-16,0.0,0.0,0.0,1.87135442528,2.0,0.0,2.0,-2.22044604925e-16,0.0,0.470898708941,1.84688998885,-2.22044604925e-16,2.0,,0.0174297543029,-2.22044604925e-16,0.0,2.0,,0.0,0.0,-2.22044604925e-16,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,-2.22044604925e-16,0.0,0.0,0.0,0.0371580280763,-2.22044604925e-16,0.0,0.0,0.0,0.0112009133135,,0.0,0.0,,0.0,,2.0,0.0,0.0,-2.22044604925e-16,0.0,2.0,0.00013434540264,2.0,1.31622776602,
,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,2.0,2.0,2.0,,,,,2.0,2.0,,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,,0.0,2.0,0.0,2.0,
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,,2.0,0.0,2.0,0.0,
,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,,,,,0.0,0.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,,2.0,0.0,2.0,0.0,
