Wear shoulder brace,coconut,napped well,Lying flat,Superlong nap,More stretching,bed day,met a new cat,haircut,3 drinks,short nap,Echinacea,honey,Protecting back,Poor sleep (hotel),Ambien CR,Miralax low dose at night,drank alcohol,ate breakfast,Vitamins,snuggly cat,sugar yesterday,busy,Cetirizine hydrochloride,hiking,B12 timed release,Sisu B Calm,Zofran,Hydroxyzine,vacation,gluten free,nap,had sex,dairy,Biotin,dairy free,party,rice,Heathen ritual,exercise,L-theanine,cuddled kitten,Oxynorm,Slept well,Woke Up With Alarm,Buffered Salmon Oil - DHA - EPA,heavy physcial exertion,Calcium citrate,mass transit,Support worker assistance,listen to music ,heating pads,beans,Norco,Daytime nap,Folic acid,Late lunch,WomenSense AdrenaSense Adrenal Formula,housework,drank a lot,Cetirizine,Freezie wrap,no breakfast,studied,butternut squash risotto,walked,Better sleep,very little sleep,excerise,new environment,bed late,Sleep,l-theanine,Vitamin d,AOR Zinc-Copper Balance,cocodamol,Onions,drawing,travel,row
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,short nap
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,2.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,Echinacea
,,,,0.0,,,0.0,,,,,,,,,,,2.0,,2.0,0.0,,,2.0,,,,,,,,,2.0,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,0.0,,,2.0,0.0,,,,0.0,,,honey
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,Protecting back
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,Poor sleep (hotel)
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,Ambien CR
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,Miralax low dose at night
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,drank alcohol
2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,,,0.0,2.0,2.0,,0.0,,,2.0,2.0,2.0,2.0,0.0,,2.49220644122e-11,,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,,0.0,,,0.0,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,,,2.0,2.0,0.0,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamins
,,,,2.0,,,2.0,,,,,2.0,,,,,,0.0,,,2.0,,,0.0,,,,,,,,,0.0,,,,2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,2.0,,,0.0,2.0,,,,2.0,,,snuggly cat
,,,,0.0,,,0.0,,,,,0.0,,,,,,2.0,,2.0,,,,2.0,,,,,,,,,2.0,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,0.0,,,2.0,0.0,,,,0.0,,,sugar yesterday
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,busy
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cetirizine hydrochloride
,,,,2.0,,,2.0,,,,,2.0,,,,,,0.0,,0.0,2.0,,,,,,,,,,,,0.0,,,,2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,2.0,,,0.0,2.0,,,,2.0,,,hiking
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,2.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,B12 timed release
,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,2.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,Sisu B Calm
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,Zofran
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,Hydroxyzine
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,vacation
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,gluten free
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,had sex
2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,0.0,2.49220644122e-11,,0.0,2.0,2.0,,0.0,,,2.0,2.0,2.0,2.0,0.0,,,,2.0,0.0,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,,0.0,,,0.0,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,,,2.0,2.0,0.0,,dairy
,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,2.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,Biotin
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,dairy free
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,party
,,,,0.0,,,0.0,,,,,0.0,,,,,,2.0,,2.0,0.0,,,2.0,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,0.0,,,2.0,0.0,,,,0.0,,,rice
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Heathen ritual
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,exercise
,,,,0.0,,,0.0,,,,,0.0,,,,,,2.0,,2.0,0.0,,,2.0,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,0.0,,,2.0,0.0,,,,0.0,,,L-theanine
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,cuddled kitten
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,Oxynorm
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,Slept well
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,Woke Up With Alarm
,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,2.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,Buffered Salmon Oil - DHA - EPA
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,heavy physcial exertion
,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,2.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,Calcium citrate
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,mass transit
,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support worker assistance
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,listen to music 
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,heating pads
,,,,0.0,,,0.0,,,,,0.0,,,,,,2.0,,2.0,0.0,,,2.0,,,,,,,,,2.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,2.0,0.0,,,,0.0,,,beans
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,Norco
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,Daytime nap
,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,2.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,Folic acid
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,Late lunch
,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,2.0,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,WomenSense AdrenaSense Adrenal Formula
,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,2.0,,2.0,,,,,,,,2.0,,2.0,,,2.0,,,,,,,,,,,,,2.0,2.0,,,,,housework
,,,,2.0,,,2.0,,,,,2.0,,,,,,0.0,,0.0,2.0,,,0.0,,,,,,,,,0.0,,,,2.0,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,0.0,2.0,,,,2.0,,,drank a lot
,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,2.0,,,,,,,,,,,,,,,0.0,0.0,,,,,Cetirizine
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,Freezie wrap
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,no breakfast
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,,2.0,2.0,2.0,2.0,,2.0,0.0,,,,,0.0,,2.0,,studied
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,,0.0,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,butternut squash risotto
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,0.0,0.0,,2.0,0.0,,0.0,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,,0.0,0.0,,0.0,2.0,,,,,2.0,,0.0,,walked
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,,0.0,,0.0,2.0,,,,,2.0,,0.0,,Better sleep
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,,,,,2.0,,0.0,,very little sleep
,,,,0.0,,,0.0,,,,,0.0,,,,,,2.0,,2.0,0.0,,,2.0,,,,,,,,,2.0,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,2.0,0.0,,,,0.0,,,excerise
2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,0.0,,,0.0,,2.0,2.0,0.0,2.0,,2.0,,2.0,,2.0,2.0,,2.0,0.0,,0.0,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,2.0,,,,,2.0,,0.0,0.0,new environment
0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,0.0,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,,2.0,,0.0,2.0,,,2.0,,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,2.0,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,,,,,0.0,,2.0,,bed late
