Dicyclomine,Home physio exercises,Phyical Therapy - stretches,Prilosec,Osteopathy,Tretinoin,Pantoprazole,Acetaminophen,Imodium,Metformin,Coffee,Prednisone,Relaxing,Citalopram,Clinda-derm,Magnesium,excedrin migraine,Physio,Topiramate,Achy breaky rub,ponstan,Paracatamol with codeine,Enada,Ranitidine,Progesterone,Vitamin B,Migraine herb feverfew tablets,Lamictal,Tranexamic acid,Klonopin,Medication,psychologist,Ginger,Montelukast,anti-nausea pills,aqua therapy,Ibuprofen,Methotrexate,Corticosteroids,Multi-vitamin
0.0,,2.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,
,0.0,,2.0,0.0,,2.0,,0.0,2.0,,,,2.0,,2.0,,0.0,2.0,,,0.0,,2.0,0.0,2.0,2.0,,0.0,,,0.0,,,,2.0,,,,2.0
,0.0,,2.0,0.0,,2.0,,0.0,2.0,,,,2.0,,2.0,,0.0,2.0,,0.0,,,2.0,0.0,2.0,2.0,,0.0,,,0.0,,,,2.0,,,,2.0
0.0,,2.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,,0.0,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,
,2.0,,0.0,2.0,,0.0,,2.0,0.0,,,,0.0,,0.0,,2.0,0.0,,2.0,2.0,,,2.0,0.0,0.0,,2.0,,,2.0,,,,0.0,,,,0.0
0.0,0.0,2.0,2.0,0.263312172287,0.0,0.10680520888,,0.0,0.193826724273,,,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,0.00684515752731,2.0,,0.005534511528,,0.0,0.0,,0.0,,2.0,,,0.0,2.0
0.0,2.0,2.0,0.0,0.347342457044,0.0,0.060395471388,,2.0,0.130233852702,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.00684515752731,,0.0,,0.0246137790139,,0.0,2.0,,0.0,,0.0,,,0.0,0.0
,2.0,,0.0,2.0,,0.0,,2.0,0.0,,,,0.0,,0.0,,2.0,0.0,,2.0,2.0,,0.0,2.0,0.0,,,2.0,,,2.0,,,,0.0,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
0.0,0.0,2.0,2.0,0.196341804542,0.0,0.158992618538,,0.0,0.260452570195,,,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.005534511528,0.0246137790139,2.0,,,,0.0,0.0,,0.0,,2.0,,,0.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
0.0,,2.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,0.0,,,,,0.0,
,0.0,,2.0,0.0,,2.0,,0.0,2.0,,,,2.0,,2.0,,0.0,2.0,,0.0,0.0,,2.0,0.0,2.0,2.0,,0.0,,,,,,,2.0,,,,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,2.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,,0.0,2.0,,0.0,,2.0,0.0,,,,0.0,,0.0,,2.0,0.0,,2.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,,2.0,,,,,,,,0.0
,,,,,,,,,,1.98306029894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,2.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,2.0,,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,
,2.0,,0.0,2.0,,0.0,,2.0,0.0,,,,0.0,,0.0,,2.0,0.0,,2.0,2.0,,0.0,2.0,0.0,0.0,,2.0,,,2.0,,,,0.0,,,,
