physical therapy,Caffeine,Sunlight,Biest,Albuterol Inhaler,Cannabis CBD capsule 10mg,Zolpidem,Magnesium glycinate,My Goodness Organics meals,5-htp,Nasonex,Claritin,Strattera,Ibuprofen 600mg,Venlafaxine,Famotidine,Vitamin b complex,Thyreoidum,Benadryl,Cold Mask,Ranitidine,Excedrin,Astelin,Calcium citrate,Vitamin C,Zoloft,Amitryptiline,THC,Meditation,Turmeric,Allegra,Klonopin,Cetirizine,Singulair,Nortriptyline,Vitamin b12,Cabergoline,Post-op ice device,Zinc,Vitamin d,Melatonin,Thyrax,Fish oil,Pantoprazole
,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.763183609359,0.0,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
,,,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,
,,2.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0,0.0,0.763183609359,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
