Ex bike,Hemorrhoid Cream,Caffeine,Cannabis,Naproxen,Ambien CR,Miralax low dose at night,tumeric extract,Soluble Aspirin,Aspirin,Daily walk,Prednisone,7-keto-dhea,Flonase,Buspirone,Turmeric,methotraxate,Vitamin b complex,Methylcobalamine,Probiotic,therapy session,Stretching,Tummy Tamers,Physiotherapy,Steps,Magnesium,Boswelia Complex,Panamax,THC,Triamcinolone Cream,Allegra,Goth clubbing,Fish oil,Marijuana,Tramadol,Post-op ice device,Standing desk,cocodamol,Valdoxan,Benadryl,Aleve,Aromatherapy,Rest,Compression Stockings,Acetaminophen,nsaid,Claritin,pilates,Prednisolone,Strattera,Low oxalate,Citalopram,Zofran,Hydroxyzine,Synthroid,Sauna,meds,Veggies,Humira,Antihistamine,Physical activity,Equilibrant,Vitamin C,Dr J study,co-tenidone,Probiotics,linseed,5 or more portions of fruit and veg,Tavegyl,eye drops,Meditation,Gabapentin,Klonopin,Cetirizine,CBD,Vitamin B,LUSH acne spot-treatment,Zomig,hydrocortisone suppository ,Cranberry extract,Vitamin b12,Triamcinolone Lotion,Vitamin d,Ice pack,Mezavant,massage,Codeine-Panadol,Diazepam,Iron,More stretching,physical therapy,Vitamin a,Vyvanse,Pepto-bismol,Albuterol Inhaler,Lying flat,Acetyl Carnitine,Acupuncture,Magnesium gel,N-Acelcysteine,Creatine,Clonazepam,Therapy,Ibuprophen,CoQ10,Valium,Oxynorm,Trigger Points,Calcium citrate,Garden of Life Raw Meal,Snooze,eye compress,Boswelia,Flutiform,Folic acid,rebounding,Escitalopram,DEHA,Snacks,stool softener,Allergy Shots,Zinc,Ibuprofen,Nortriptyline,Melatonin,Entocort,Wear shoulder brace,Alcohol,Sunlight,Ventolin,birth control,Inflamma-blox,Magnesium glycinate,5-htp,Nasonex,Forever Aloe Berry,Lithium,use exercise bike,Ocella,Ecural,Tylenol 3,eye ointment,gluten free,dairy free,Athlete Vitamin,Famotidine,Topical ibuprofen,Protecting back,Wore arch supports all day,Ranitidine,strapping of shoulder,Neti Pot,Codeine,Astelin,Spironolactone,Voltaren,Temazepam,heating pads,Norco,Lexam,antihistamines,pool,Zoladex,Azathioprine,Freezie wrap,Singulair,Pentasa,cough syrup,Sleep,drawing
2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,
,0.246296104056,,,,,,,0.0,2.0,,,,0.0882832770954,,,,,,,,,,,,,,0.0,,0.0385097959987,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,1.29906860422,2.0,,,0.00506253008409,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,2.0,,,,0.0,,,0.0,0.0,0.0,,,,2.0,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,2.0,,0.0,,,2.0,,0.0,,2.0,,,,,,,,,,,,,0.0,,,2.0,,,,,,0.0,,2.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.58283190639,,,,,,,,,,0.0882832770954,,,,,,,,,,,,,,,,,,0.0104840129218,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.880648945473,,,,0.134184550695,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.619740255404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0365349092502,0.0,8.3173102284e-05,,,0.0,,,,,,,0.0,,,,0.0,,,0.0365349092502,,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,,,0.113315122168,,0.0,,,,,,8.3173102284e-05,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
0.0,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,,,0.0,0.0,0.0,,,,2.0,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,2.0,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,2.0,,,,,,,
,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,0.455949300283,,,,,,,,,,0.0385097959987,,0.0104840129218,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.02529127729,,,,0.0709975890542,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.490152650267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
,,,,,0.0,,0.0,,,,,,,,,,0.0365349092502,,,0.0,,,,,,,,0.0,,,0.0,0.0400693672814,,,0.0,,,,,,,0.0,,,,0.0365349092502,,,2.22044604925e-16,,,0.0,0.0,0.0,,0.0,,,,,,0.0365349092502,,,,,,,0.0,,,0.0218705627089,,0.0,,,,,,0.0400693672814,,0.0365349092502,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,0.0365349092502,,,0.0365349092502,,,0.0,0.0,,0.0,,0.0365349092502,0.0365349092502,0.0365349092502,,,,,,,0.0,,,,0.0365349092502,,,,,0.0,,,0.0365349092502,,,,0.0,0.0,,,0.0,,,,0.0365349092502,,,,
,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,
,2.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,8.3173102284e-05,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0400693672814,0.0,,,,0.0,0.0,,,,,,0.0,,,,8.3173102284e-05,,,0.0400693672814,,,0.0,0.0,0.00016977295564,,0.0,,0.0,,,,0.041091948736,,,,0.0,,,0.0,,,0.119352230631,,0.0,,,,0.0,,-2.22044604925e-16,,8.3173102284e-05,0.0,0.0,,,,2.0,,0.0,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,8.3173102284e-05,,0.0,8.3173102284e-05,,,0.0,0.0,,0.0,,8.3173102284e-05,8.3173102284e-05,8.3173102284e-05,,0.0,,2.0,0.0,,0.0,,,,8.3173102284e-05,,,,0.0,0.0,0.0,,8.3173102284e-05,,,,0.0,0.0,,,0.0,,,,8.3173102284e-05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,2.0,,,,,,0.0,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,,0.0,0.0,,,,,2.0,,,,,,,0.0,,,,,,,0.0,,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,,,,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0365349092502,0.0,8.3173102284e-05,,,0.0,,,,,,,0.0,,,,,,,0.0365349092502,,,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,,0.0,,,0.113315122168,,0.0,,,,,,8.3173102284e-05,,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,
0.0,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,0.0,,,,,,,,,,0.0365349092502,,,0.0,,,,,,,,0.0,,2.22044604925e-16,0.0,0.0400693672814,,,0.0,,,,,,,0.0,,,,0.0365349092502,,,,,,0.0,0.0,0.0,,0.0,,,,,,0.0365349092502,,,,,,,0.0,,,0.0218705627089,,0.0,,,,,,0.0400693672814,,0.0365349092502,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,0.0,0.0365349092502,,,0.0365349092502,,,0.0,0.0,,0.0,,0.0365349092502,0.0365349092502,0.0365349092502,,,,,,,0.0,,,,0.0365349092502,,,,,0.0,,,0.0365349092502,,,,0.0,0.0,,,0.0,,,,0.0365349092502,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,
