Valdoxan,Cod liver oil,IVIG,Vyvanse,floravit iron,Voltaren,Eyebright Complex,Lithium,Magnesium gel,pur-absorb iron,Vitamin d,Nasonex,Coffee,Vitamin D3,Pataday,Creatine,Clonazepam,Zofran,gluten free diet,Ecural,Synthroid,Soluble Aspirin,Buspirone,DLPA,Psyllium husk,Zantac,creative writing,Valium,Multi vitamin,linseed,Stretching,Ranitidine,Probiotic,Ventolin,Ligament Restore,Codeine,Progesterone,Spironolactone,Deep rest,Physiotherapy,Tian Ma Tou Tong - headache,Magnesium,Iron,Multivitamin,Ondansetron,Panamax,Mirtazapine,Zoladex,Migraine Diet,Mezavant,Pain management,Vitamin B,Sertraline,Fish oil,Vitamin B complex - 50,Ginger,Wei Te Ling - heartburn,anti-nausea pills,Vitamin a,Standing desk,Ibuprofen,Cardio,Nortriptyline,Prednisone
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,0.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,,2.0,0.0,,0.0,,0.0,2.0,0.0,,2.0,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,,2.0,,2.0,,2.0,0.0,2.0,,0.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,,,0.0,,0.0,2.0,0.0,,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,,,0.0,2.0,0.0,,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,,2.0,0.0,,2.0,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,,2.0,,0.0,
0.0,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,,0.0,,0.0,2.0,,,2.0,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2.0,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,0.0,2.0,,2.0,,2.0,0.0,2.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
